Firm,Source,Sub-Asset Class,View (proposed),What happened,Explanation,Evidence / notes
AllianceBernstein,Multi-Asset Midyear Outlook: Fortitude Amid Disruption,systematic equity strategies,O,Skipped — asset not on the list,"The asset named didn't match any item on the approved asset list, so it was left out. No action needed unless it should be on the list.",taxonomy_no_match
AllianceBernstein,Multi-Asset Midyear Outlook: Fortitude Amid Disruption,option protection,O,Skipped — asset not on the list,"The asset named didn't match any item on the approved asset list, so it was left out. No action needed unless it should be on the list.",taxonomy_no_match
Impax Asset Management,Mid-Year Credit Outlook 2026,Private Credit/Debt,U,Evidence points the other way,"A second reader found the cited text doesn't support the direction of this call, so it was dropped. A human can check the cited page.","Quote only notes warning signs 'growing louder' in private credit as a contrast to HY resilience; it flags rising risk without Impax adopting an underweight stance — a hedged risk note, not a taken position."
Impax Asset Management,Mid-Year Credit Outlook 2026,AI infrastructure credit,O,Skipped — asset not on the list,"The asset named didn't match any item on the approved asset list, so it was left out. No action needed unless it should be on the list.",taxonomy_no_match
Impax Asset Management,Mid-Year Credit Outlook 2026,SaaS issuers,U,Skipped — asset not on the list,"The asset named didn't match any item on the approved asset list, so it was left out. No action needed unless it should be on the list.",taxonomy_no_match
Impax Asset Management,Mid-Year Credit Outlook 2026,hyperscaler bonds,U,Skipped — asset not on the list,"The asset named didn't match any item on the approved asset list, so it was left out. No action needed unless it should be on the list.",taxonomy_no_match
Impax Asset Management,Mid-Year Credit Outlook 2026,CMBS,O,Evidence could not be verified visually,"The exact supporting text could not be confirmed even after a visual page check, so the call was dropped rather than kept unverified. A human can check the cited page.",visual verifier did not find the submitted quote on the cited page
Impax Asset Management,Mid-Year Credit Outlook 2026,consumer ABS,U,Skipped — asset not on the list,"The asset named didn't match any item on the approved asset list, so it was left out. No action needed unless it should be on the list.",taxonomy_no_match
Impax Asset Management,Mid-Year Credit Outlook 2026,senior AAA-rated CLO tranches,O,Skipped — asset not on the list,"The asset named didn't match any item on the approved asset list, so it was left out. No action needed unless it should be on the list.",taxonomy_no_match
Impax Asset Management,Mid-Year Credit Outlook 2026,lower-rated CLO tranches,U,Skipped — asset not on the list,"The asset named didn't match any item on the approved asset list, so it was left out. No action needed unless it should be on the list.",taxonomy_no_match
AllianceBernstein,Multi-Asset Midyear Outlook: Fortitude Amid Disruption,Gold/Precious,O,Duplicate — already covered,The same view for this asset appears in another of this firm's documents; it was kept once. No action needed.,same view already kept from p.5
AllianceBernstein,Multi-Asset Midyear Outlook: Fortitude Amid Disruption,Low Vol.,O,"Duplicate — same call, related asset",This repeats a view already kept for a closely related asset from the same piece of text; it was kept once to avoid double-counting. No action needed.,"same source, view, and evidence as kept leaf 'Gold/Precious'; this leaf is not named in the shared evidence (cross-leaf fan-out)"
SmokeTest,Deliberate Failure,,,Document could not be ingested,"This source could not be fetched or converted into text, so it was skipped while the rest of the run continued. Let us know so we can re-run it.","Error: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://definitely-not-a-real-domain-phase3-smoke.invalid/outlook.html
Call log:
  - navigating to ""https://definitely-not-a-real-domain-phase3-smoke.invalid/outlook.html"", waiting until ""load"""
