reason_code,message,source_id,chunk_id,sub_asset_raw,sub_asset_class,view,taxonomy_match,evidence_kind,evidence_quote,locator,reasoning,basis,checker_strength,call_language
taxonomy_no_match,taxonomy_no_match,alliancebernstein-multi-asset-midyear-outlook-fortitude-amid-disruption,p1-5,systematic equity strategies,systematic equity strategies,O,none,prose,Systematic equity approaches may help manage these risks while offering potential for outperformance that complements fundamental strategies.,p.5,AB recommends systematic equity approaches to manage concentration risks while adding potential outperformance.,stated,thin,directional
taxonomy_no_match,taxonomy_no_match,alliancebernstein-multi-asset-midyear-outlook-fortitude-amid-disruption,p1-5,option protection,option protection,O,none,prose,"Real assets, commodities, gold and option protection are building blocks that could help if the energy shock lasts or volatility rises.",p.5,"AB recommends option protection as a portfolio building block for persistent energy shock or rising volatility, but no locked taxonomy leaf fits cleanly.",stated,thin,directional
checker_sign_mismatch,"Quote only notes warning signs 'growing louder' in private credit as a contrast to HY resilience; it flags rising risk without Impax adopting an underweight stance — a hedged risk note, not a taken position.",impax-asset-management-mid-year-credit-outlook-2026,p1-5,private credit,Private Credit/Debt,U,semantic,prose,"While the warning signs flagged at year-end are growing louder in private credit, public high yield fundamentals do appear resilient.",p.4,Impax is cautious on private credit as warning signs are intensifying and contagion risk from private markets remains a concern.,stated,thin,directional
taxonomy_no_match,taxonomy_no_match,impax-asset-management-mid-year-credit-outlook-2026,p1-5,AI infrastructure,AI infrastructure credit,O,none,prose,"We continue to see selective opportunities, particularly within AI infrastructure, while remaining cautious on SaaS issuers where terminal economics appear inadequately priced.",p.3,"Impax sees selective opportunities in AI infrastructure within credit, contrasting it with caution on SaaS issuers.",stated,adequate,directional
taxonomy_no_match,taxonomy_no_match,impax-asset-management-mid-year-credit-outlook-2026,p1-5,SaaS issuers,SaaS issuers,U,none,prose,"We continue to see selective opportunities, particularly within AI infrastructure, while remaining cautious on SaaS issuers where terminal economics appear inadequately priced.",p.3,Impax is cautious on SaaS issuers because it views terminal economics as inadequately priced amid AI disruption risk.,stated,decisive,directional
taxonomy_no_match,taxonomy_no_match,impax-asset-management-mid-year-credit-outlook-2026,p1-5,bonds issued by ‘hyperscalers’,hyperscaler bonds,U,none,prose,"We are monitoring this trend closely, remaining highly selective in the primary market for bonds issued by ‘hyperscalers’, to whom we maintain an underweight stance.",p.5,Impax maintains an underweight to hyperscaler bonds as data-centre issuance surges and some deals require borrower concessions.,stated,decisive,explicit_stance
quote_not_found_visual,visual verifier did not find the submitted quote on the cited page,impax-asset-management-mid-year-credit-outlook-2026,p1-5,Commercial mortgage-backed securities (CMBS),CMBS,O,exact,prose,"Commercial mortgage-backed securities (CMBS) meanwhile appear to offer compelling carry as fundamentals improve, in our view, although the recovery is uneven across sectors and further spread tightening potential is limited.",p.6,"Impax likes CMBS carry as fundamentals improve, while noting uneven recovery and limited spread-tightening upside.",stated,adequate,directional
taxonomy_no_match,taxonomy_no_match,impax-asset-management-mid-year-credit-outlook-2026,p1-5,consumer ABS,consumer ABS,U,none,prose,"Digital infrastructure ABS and CMBS are benefiting from strong secular demand tied to the AI buildout (see rising issuance in the chart below), while consumer ABS is increasingly pressured by inflation and weaker lower-income borrowers.",p.6,Impax is cautious on consumer ABS because inflation and weaker lower-income borrowers are pressuring the segment.,stated,adequate,directional
taxonomy_no_match,taxonomy_no_match,impax-asset-management-mid-year-credit-outlook-2026,p1-5,senior ‘AAA’-rated tranches,senior AAA-rated CLO tranches,O,none,prose,"A similar split characterises the market for collateralised loan obligations (CLOs): senior ‘AAA’-rated tranches are supported by strong demand, due to their attractive carry and structural protections, while lower-rated tranches face challenges from increased credit dispersion and potential AI-driven credit deterioration.",p.6,"Impax favors senior AAA CLO tranches because demand, carry and structural protections support them.",stated,adequate,directional
taxonomy_no_match,taxonomy_no_match,impax-asset-management-mid-year-credit-outlook-2026,p1-5,lower-rated tranches,lower-rated CLO tranches,U,none,prose,"A similar split characterises the market for collateralised loan obligations (CLOs): senior ‘AAA’-rated tranches are supported by strong demand, due to their attractive carry and structural protections, while lower-rated tranches face challenges from increased credit dispersion and potential AI-driven credit deterioration.",p.6,Impax is cautious on lower-rated CLO tranches because credit dispersion and AI-driven deterioration risk are rising.,stated,adequate,directional
duplicate_same_view,same view already kept from p.5,alliancebernstein-multi-asset-midyear-outlook-fortitude-amid-disruption,p1-5,gold,Gold/Precious,O,semantic,prose,"Real assets, commodities, gold and option protection are building blocks that could help if the energy shock lasts or volatility rises.",p.5,AB also includes gold among the inflation-protection building blocks for persistent energy shock or higher volatility.,stated,,directional
duplicate_cross_leaf,"same source, view, and evidence as kept leaf 'Gold/Precious'; this leaf is not named in the shared evidence (cross-leaf fan-out)",alliancebernstein-multi-asset-midyear-outlook-fortitude-amid-disruption,p1-5,Lower-beta stocks,Low Vol.,O,semantic,prose,Lower-beta stocks and gold may also help defense.,p.5,AB sees lower-beta stocks as a defensive portfolio building block during volatility.,stated,,directional
ingest_error,"Error: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://definitely-not-a-real-domain-phase3-smoke.invalid/outlook.html
Call log:
  - navigating to ""https://definitely-not-a-real-domain-phase3-smoke.invalid/outlook.html"", waiting until ""load""",smoketest-deliberate-failure,ingest,,,,,,,,,,,
